Topic,Title,article Id,Headline
This house believes in the use of affirmative action,Affirmative action,101,People should believe in Affirmative action
This house believes in the use of affirmative action,Racial quota,1368,People should believe in Affirmative action
This house believes in the use of affirmative action,Affirmative action in the United States,1352,People should believe in Affirmative action
This house believes in the use of affirmative action,United Kingdom employment equality law,1347,People should believe in Affirmative action
This house believes in the use of affirmative action,Discrimination,1262,People should believe in Affirmative action
This house would ban boxing,Dementia pugilistica,1393,Boxing should be banned
This house would ban boxing,Combat sport,1386,Boxing should be banned
This house would ban boxing,Knockout,123,Boxing should be banned
This house would ban boxing,Boxing in China,1380,Boxing should be banned
This house would ban boxing,Contact sport,1391,Boxing should be banned
This house would ban boxing,Concussion,1388,Boxing should be banned
This house would ban boxing,Boxing,141,Boxing should be banned
This house would ban boxing,Amateur boxing,124,Boxing should be banned
This house would ban boxing,Boxing styles and technique,1384,Boxing should be banned
This house would ban boxing,The distance (boxing),122,Boxing should be banned
This house would embrace multiculturalism,All for Australia,2066,multiculturalism would be embraced
This house would embrace multiculturalism,Declaration on the Rights of Indigenous Peoples,2034,multiculturalism would be embraced
This house would embrace multiculturalism,Multicultural education,2037,multiculturalism would be embraced
This house would embrace multiculturalism,Cultural diversity,206,multiculturalism would be embraced
This house would embrace multiculturalism,Interminority racism,2055,multiculturalism would be embraced
This house would embrace multiculturalism,Melting pot,207,multiculturalism would be embraced
This house would embrace multiculturalism,Nationalism,2040,multiculturalism would be embraced
This house would embrace multiculturalism,Criticism of multiculturalism,205,multiculturalism would be embraced
This house would embrace multiculturalism,Multiculturalism in Canada,202,multiculturalism would be embraced
This house would embrace multiculturalism,Multiculturalism in Australia,204,multiculturalism would be embraced
This house would embrace multiculturalism,Multiculturalism in the Netherlands,203,multiculturalism would be embraced
This house would embrace multiculturalism,Multiculturalism and Islam,2067,multiculturalism would be embraced
This house would embrace multiculturalism,Acculturation,2061,multiculturalism would be embraced
This house would embrace multiculturalism,Universal Declaration on Cultural Diversity,2073,multiculturalism would be embraced
This house would embrace multiculturalism,Muscular liberalism,2068,multiculturalism would be embraced
This house would embrace multiculturalism,Convention on the Protection and Promotion of the Diversity of Cultural Expressions,2070,multiculturalism would be embraced
This house would embrace multiculturalism,Alliance of Civilizations,2071,multiculturalism would be embraced
This house would embrace multiculturalism,Cultural competence,2038,multiculturalism would be embraced
This house would embrace multiculturalism,Minority group,2053,multiculturalism would be embraced
This house would embrace multiculturalism,Multiculturalism,201,multiculturalism would be embraced
This house would embrace multiculturalism,Leitkultur,2069,multiculturalism would be embraced
This house would embrace multiculturalism,Cosmopolitanism,2039,multiculturalism would be embraced
This house would embrace multiculturalism,Canadian identity,2065,multiculturalism would be embraced
This house would embrace multiculturalism,Cultural imperialism,2035,multiculturalism would be embraced
This house would embrace multiculturalism,Interculturalism,2044,multiculturalism would be embraced
This house would ban gambling,Gamblers Anonymous,243,gambling sohuld be banned
This house would ban gambling,Gambling,235,gambling sohuld be banned
This house would ban gambling,Problem gambling,236,gambling sohuld be banned
This house would ban gambling,Online gambling,239,gambling sohuld be banned
This house would ban gambling,Lottery,240,gambling sohuld be banned
This house would ban gambling,Southern District of New York action against online poker players,249,gambling sohuld be banned
This house would ban gambling,Economics of gambling,250,gambling sohuld be banned
This house would ban gambling,Charity gambling,241,gambling sohuld be banned
This house would ban gambling,Gambling in the United States,237,gambling sohuld be banned
This house would ban gambling,Casino,238,gambling sohuld be banned
This house would ban gambling,Unlawful Internet Gambling Enforcement Act of 2006,248,gambling sohuld be banned
This house believes that the right to asylum should not be absolute,Russian Federation Law on Refugees,325,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Immigration to the United Kingdom since 1922,333,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Immigration and crime,348,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Right of asylum,321,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Convention Relating to the Status of Refugees,328,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Nativism (politics),346,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Boat people,327,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Illegal immigration from Africa to Israel,323,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,United Nations High Commissioner for Refugees,349,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Refugee,322,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Immigration,347,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,UK Immigration Service,332,The right to asylum should not be absolute
This house believes that the right to asylum should not be absolute,Illegal immigration,326,The right to asylum should not be absolute
This house would abolish the monarchy,Republicanism in Canada,430,the monarchy should be abolished
This house would abolish the monarchy,Monarch,450,the monarchy should be abolished
This house would abolish the monarchy,Monarchy,419,the monarchy should be abolished
This house would abolish the monarchy,Enlightened absolutism,455,the monarchy should be abolished
This house would abolish the monarchy,Republicanism in the United Kingdom,423,the monarchy should be abolished
This house would abolish the monarchy,Monarchy of the United Kingdom,457,the monarchy should be abolished
This house would abolish the monarchy,Debate on the monarchy in Canada,424,the monarchy should be abolished
This house would abolish the monarchy,Constitutional monarchy,429,the monarchy should be abolished
This house would abolish the monarchy,Right-wing politics,445,the monarchy should be abolished
This house would abolish the monarchy,Monarchism,449,the monarchy should be abolished
This house would abolish the monarchy,Republicanism in Australia,425,the monarchy should be abolished
This house would abolish the monarchy,Monarchy of New Zealand,436,the monarchy should be abolished
This house would abolish all collective bargaining rights claimed by trades unions,Trade union,2156,all collective bargaining rights claimed by trades unions should be abolished
This house would abolish all collective bargaining rights claimed by trades unions,Collective bargaining,2135,all collective bargaining rights claimed by trades unions should be abolished
This house would abolish all collective bargaining rights claimed by trades unions,Industrial unionism,2157,all collective bargaining rights claimed by trades unions should be abolished
This house would abolish all collective bargaining rights claimed by trades unions,Demir and Baykara v Turkey,2170,all collective bargaining rights claimed by trades unions should be abolished
This house would abolish all collective bargaining rights claimed by trades unions,Opposition to trade unions,2136,all collective bargaining rights claimed by trades unions should be abolished
This house would abolish all collective bargaining rights claimed by trades unions,Federal Labor Relations Act,2168,all collective bargaining rights claimed by trades unions should be abolished
This house would ban partial birth abortions,Legalized abortion and crime effect,2149,Ban partial birth abortions
This house would ban partial birth abortions,Philosophical aspects of the abortion debate,2146,Ban partial birth abortions
This house would ban partial birth abortions,Judaism and abortion,2155,Ban partial birth abortions
This house would ban partial birth abortions,Support for the legalization of abortion,2197,Ban partial birth abortions
This house would ban partial birth abortions,Stenberg v. Carhart,2153,Ban partial birth abortions
This house would ban partial birth abortions,Religion and abortion,2158,Ban partial birth abortions
This house would ban partial birth abortions,Intact dilation and extraction,2152,Ban partial birth abortions
This house would ban partial birth abortions,Abortion in the United States,2150,Ban partial birth abortions
This house would ban partial birth abortions,Abortion debate,2145,Ban partial birth abortions
This house would ban partial birth abortions,Abortion and mental health,2147,Ban partial birth abortions
This house would ban partial birth abortions,Partial-Birth Abortion Ban Act,2142,Ban partial birth abortions
This house would ban partial birth abortions,Gonzales v. Carhart,2154,Ban partial birth abortions
This house would ban partial birth abortions,Roe v. Wade,2151,Ban partial birth abortions
This house would ban partial birth abortions,Societal attitudes towards abortion,2193,Ban partial birth abortions
This house believes that countries with an imbalanced male/female ratio skewed towards males should encourage parents to produce girls,Sex selection,2160,Countries with an imbalanced male/female ratio skewed towards males should encourage parents to produce girls
This house believes that countries with an imbalanced male/female ratio skewed towards males should encourage parents to produce girls,Human sex ratio,2159,Countries with an imbalanced male/female ratio skewed towards males should encourage parents to produce girls
This house believes that countries with an imbalanced male/female ratio skewed towards males should encourage parents to produce girls,One-child policy,2165,Countries with an imbalanced male/female ratio skewed towards males should encourage parents to produce girls
This house believes that countries with an imbalanced male/female ratio skewed towards males should encourage parents to produce girls,Sex-selective abortion,2161,Countries with an imbalanced male/female ratio skewed towards males should encourage parents to produce girls
This house would introduce year round schooling,After-school activity,2177,year round schooling should be introduced
This house would introduce year round schooling,Summer vacation,2172,year round schooling should be introduced
This house would introduce year round schooling,Summer learning loss,2173,year round schooling should be introduced
This house would introduce year round schooling,Year-round school,2223,year round schooling should be introduced
This house would subsidize poor communities,Subsidy,2178,poor communities should be subsidized
This house would subsidize poor communities,Cycle of poverty,2189,poor communities should be subsidized
This house would subsidize poor communities,Social safety net,2190,poor communities should be subsidized
This house would subsidize poor communities,Prodesis,2211,poor communities should be subsidized
This house would subsidize poor communities,Redistribution of wealth,2232,poor communities should be subsidized
This house would subsidize poor communities,Poverty reduction,2213,poor communities should be subsidized
This house would subsidize poor communities,Welfare's effect on poverty,2191,poor communities should be subsidized
This house would subsidize poor communities,Welfare culture,2222,poor communities should be subsidized
This house would subsidize poor communities,Criticisms of welfare,2192,poor communities should be subsidized
This house would subsidize poor communities,Economic inequality,2221,poor communities should be subsidized
This house believes the United States is responsible for Mexico's drugs war,War on Drugs,2194,United States is responsible for Mexico's drugs war
This house believes the United States is responsible for Mexico's drugs war,Mérida Initiative,2233,United States is responsible for Mexico's drugs war
This house believes the United States is responsible for Mexico's drugs war,Project Gunrunner,2182,United States is responsible for Mexico's drugs war
This house believes the United States is responsible for Mexico's drugs war,ATF gunwalking scandal,2183,United States is responsible for Mexico's drugs war
This house believes the United States is responsible for Mexico's drugs war,Smuggling of firearms into Mexico,2181,United States is responsible for Mexico's drugs war
This house believes the United States is responsible for Mexico's drugs war,Mexican Drug War,2171,United States is responsible for Mexico's drugs war
This house believes the US is justified in using force to prevent states from acquiring nuclear weapons,Nuclear peace,2202,US is justified in using force to prevent states from acquiring nuclear weapons
This house believes the US is justified in using force to prevent states from acquiring nuclear weapons,Nuclear weapons debate,2199,US is justified in using force to prevent states from acquiring nuclear weapons
This house believes the US is justified in using force to prevent states from acquiring nuclear weapons,Nuclear weapon,2245,US is justified in using force to prevent states from acquiring nuclear weapons
This house believes the US is justified in using force to prevent states from acquiring nuclear weapons,Treaty on the Non-Proliferation of Nuclear Weapons,2203,US is justified in using force to prevent states from acquiring nuclear weapons
This house believes the US is justified in using force to prevent states from acquiring nuclear weapons,Nuclear proliferation,2198,US is justified in using force to prevent states from acquiring nuclear weapons
This house believes the US is justified in using force to prevent states from acquiring nuclear weapons,Nuclear disarmament,2246,US is justified in using force to prevent states from acquiring nuclear weapons
This house believes the US is justified in using force to prevent states from acquiring nuclear weapons,Criticism of American foreign policy,2187,US is justified in using force to prevent states from acquiring nuclear weapons
This house believes the US is justified in using force to prevent states from acquiring nuclear weapons,Deterrence theory,2200,US is justified in using force to prevent states from acquiring nuclear weapons
This house believes atheism is the only way,The System of Nature,2258,Atheism is the only way
This house believes atheism is the only way,God Is Not Great,2250,Atheism is the only way
This house believes atheism is the only way,Atheism,2224,Atheism is the only way
This house believes atheism is the only way,Naturalism (philosophy),2281,Atheism is the only way
This house believes atheism is the only way,Argument from morality,2263,Atheism is the only way
This house believes atheism is the only way,Antitheism,2249,Atheism is the only way
This house believes atheism is the only way,Richard Dawkins,2231,Atheism is the only way
This house believes atheism is the only way,Criticism of religion,2228,Atheism is the only way
This house believes atheism is the only way,Problem of evil,2242,Atheism is the only way
This house believes atheism is the only way,The Root of All Evil?,2227,Atheism is the only way
This house believes atheism is the only way,Quinque viae,2260,Atheism is the only way
This house believes atheism is the only way,Criticism of atheism,2226,Atheism is the only way
This house believes atheism is the only way,God,2247,Atheism is the only way
This house believes atheism is the only way,God of the gaps,2254,Atheism is the only way
This house believes atheism is the only way,The God Delusion,2236,Atheism is the only way
This house believes atheism is the only way,Existence of God,2225,Atheism is the only way
This house believes atheism is the only way,Cosmological argument,2238,Atheism is the only way
This house believes atheism is the only way,Ultimate Boeing 747 gambit,2235,Atheism is the only way
This house believes atheism is the only way,Agnosticism,2248,Atheism is the only way
This house believes that democratic governments should require voters to present photo identification at the polling station,Voter suppression,2377,Democratic governments should require voters to present photo identification at the polling station
This house believes that democratic governments should require voters to present photo identification at the polling station,Crawford v. Marion County Election Board,2381,Democratic governments should require voters to present photo identification at the polling station
This house believes that democratic governments should require voters to present photo identification at the polling station,Help America Vote Act,2376,Democratic governments should require voters to present photo identification at the polling station
This house would reintroduce national service,Conscription in the United States,2383,national service should be reintroduced
This house would reintroduce national service,Conscription in Germany,2388,national service should be reintroduced
This house would reintroduce national service,Counter-recruitment,2389,national service should be reintroduced
This house would reintroduce national service,Charles B. Rangel,2391,national service should be reintroduced
This house would reintroduce national service,National Service Act of 2006,2390,national service should be reintroduced
This house would reintroduce national service,Conscription,2384,national service should be reintroduced
This house prefers trade to aid,Trade and development,2400,Trade to aid is preferred
This house prefers trade to aid,Development aid,2397,Trade to aid is preferred
This house prefers trade to aid,Aid effectiveness,2393,Trade to aid is preferred
This house prefers trade to aid,Protectionism,2410,Trade to aid is preferred
This house prefers trade to aid,Peter Thomas Bauer,2395,Trade to aid is preferred
This house prefers trade to aid,Aid,2398,Trade to aid is preferred
This house prefers trade to aid,Poverty in Africa,2409,Trade to aid is preferred
This house prefers trade to aid,Dambisa Moyo,2394,Trade to aid is preferred
This house prefers trade to aid,Development geography,2396,Trade to aid is preferred
This house prefers trade to aid,James Shikwati,2408,Trade to aid is preferred
This house prefers trade to aid,Poverty reduction,2403,Trade to aid is preferred
This house prefers trade to aid,Faith-based foreign aid,2399,Trade to aid is preferred
This house prefers trade to aid,Free trade debate,2407,Trade to aid is preferred
This house prefers trade to aid,William Easterly,2401,Trade to aid is preferred
This house prefers trade to aid,Poverty trap,2402,Trade to aid is preferred
This house believes that housewives should be paid for their work,Feminist economics,2387,Housewives should be paid for their work
This house believes that housewives should be paid for their work,Care work,2385,Housewives should be paid for their work
This house would abolish intellectual property rights,Intellectual property,2427,Intellectual property rights should be abolished
This house would abolish intellectual property rights,Anti-copyright,2431,Intellectual property rights should be abolished
This house would abolish intellectual property rights,Societal views on patents,2428,Intellectual property rights should be abolished
This house would abolish intellectual property rights,Philosophy of copyright,2432,Intellectual property rights should be abolished
This house would abolish intellectual property rights,Libertarian perspectives on intellectual property,2429,Intellectual property rights should be abolished
This house would abolish intellectual property rights,Patent,2443,Intellectual property rights should be abolished
This house would abolish intellectual property rights,Property,2501,Intellectual property rights should be abolished
This house would abolish intellectual property rights,Missionary Church of Kopimism,2502,Intellectual property rights should be abolished
This house would abolish intellectual property rights,Copyright,2430,Intellectual property rights should be abolished
This house believes that wind power should be a primary focus of future energy supply,Wind power in Scotland,2449,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Community wind energy,2446,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Environmental impact of wind power,2435,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Wind power in Maine,2450,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Wind power in Austria,2438,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Offshore wind power,2453,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Environmental impact of the energy industry,2507,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Wind power grid integration,2451,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Cost of electricity by source,2439,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Renewable energy debate,2436,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Wind power,2433,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,United States Wind Energy Policy,2452,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Energy development,2448,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Environmental impact of electricity generation,2506,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Intermittent energy source,2445,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Wind farm,2434,Wind power should be a primary focus of future energy supply
This house believes that wind power should be a primary focus of future energy supply,Wind power in Australia,2437,Wind power should be a primary focus of future energy supply
This house believes that endangered species should be protected,Conservation in Australia,2484,Endangered species should be protected
This house believes that endangered species should be protected,Ecological effects of biodiversity,2548,Endangered species should be protected
This house believes that endangered species should be protected,Habitat destruction,2549,Endangered species should be protected
This house believes that endangered species should be protected,Environmental ethics,2485,Endangered species should be protected
This house believes that endangered species should be protected,Deep ecology,2543,Endangered species should be protected
This house believes that endangered species should be protected,Conservation biology,2541,Endangered species should be protected
This house believes that endangered species should be protected,Biocentrism (ethics),2544,Endangered species should be protected
This house believes that endangered species should be protected,Habitat conservation,2550,Endangered species should be protected
This house believes that endangered species should be protected,Biodiversity,2481,Endangered species should be protected
This house believes that endangered species should be protected,Melbourne Principles,2545,Endangered species should be protected
This house believes that endangered species should be protected,Extinction,2482,Endangered species should be protected
This house believes that endangered species should be protected,Convention on Biological Diversity,2483,Endangered species should be protected
This house believes that endangered species should be protected,Economics of biodiversity,2542,Endangered species should be protected
This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,Welfare state,2561,Europe should weaken its austerity measures to guarantee its citizens greater social support
This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,Deficit spending,2555,Europe should weaken its austerity measures to guarantee its citizens greater social support
This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,Greek government-debt crisis,2569,Europe should weaken its austerity measures to guarantee its citizens greater social support
This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,Anti-austerity protests,2553,Europe should weaken its austerity measures to guarantee its citizens greater social support
This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,Austerity,2551,Europe should weaken its austerity measures to guarantee its citizens greater social support
This house would limit the right to bear arms,Gun politics,2608,right to bear arms should be limited
This house would limit the right to bear arms,Political arguments of gun politics in the United States,2609,right to bear arms should be limited
This house would limit the right to bear arms,Gun culture,2616,right to bear arms should be limited
This house would limit the right to bear arms,Gun violence and gun control in Texas,2642,right to bear arms should be limited
This house would limit the right to bear arms,Second Amendment to the United States Constitution,2613,right to bear arms should be limited
This house would limit the right to bear arms,Gun control,2607,right to bear arms should be limited
This house would limit the right to bear arms,Gun politics in Brazil,2641,right to bear arms should be limited
This house would limit the right to bear arms,Gun politics in the United States,2623,right to bear arms should be limited
This house would limit the right to bear arms,National Rifle Association,2612,right to bear arms should be limited
This house would limit the right to bear arms,Gun violence in the United States,2614,right to bear arms should be limited
This house believes that bribery is sometimes acceptable,Corruption in the People's Republic of China,2647,bribery is sometimes acceptable
This house believes that bribery is sometimes acceptable,United Nations Convention against Corruption,2620,bribery is sometimes acceptable
This house believes that bribery is sometimes acceptable,Bribery,2578,bribery is sometimes acceptable
This house believes that bribery is sometimes acceptable,Political corruption,2579,bribery is sometimes acceptable
This house would re-engage with Myanmar,Burma Campaign UK,2604,We should re-engage with Myanmar
This house would re-engage with Myanmar,2007 Burmese anti-government protests,2662,We should re-engage with Myanmar
This house would re-engage with Myanmar,International reaction to the 2007 Burmese anti-government protests,2661,We should re-engage with Myanmar
This house would re-engage with Myanmar,Burma,2610,We should re-engage with Myanmar
This house would re-engage with Myanmar,Foreign relations of Burma,2606,We should re-engage with Myanmar
This house would re-engage with Myanmar,Maung Zarni,2646,We should re-engage with Myanmar
This house would build the Keystone XL pipeline,Keystone Pipeline,2663,Keystone XL pipeline should be built
This house would build the Keystone XL pipeline,Oil sands,2664,Keystone XL pipeline should be built
This house would build the Keystone XL pipeline,Pipeline transport,2665,Keystone XL pipeline should be built
This house believes that opinion polls harm the democratic process,Bandwagon effect,2744,Opinion polls harm the democratic process
This house believes that opinion polls harm the democratic process,Opinion poll,2743,Opinion polls harm the democratic process
This house believes that opinion polls harm the democratic process,Spiral of silence,2745,Opinion polls harm the democratic process
This house believes that opinion polls harm the democratic process,Exit poll,2747,Opinion polls harm the democratic process
This house believes that Israel should lift the blockade of Gaza,Gaza Strip,2789,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,Blockade of the Gaza Strip,2783,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,Gaza War,2790,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,Gaza flotilla raid,2792,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,Reactions to the Gaza flotilla raid,2785,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,Legal assessments of the Gaza flotilla raid,2787,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,Goods allowed or banned for import into Gaza,2791,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,Turkel Commission,2788,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,Criticism of the Israeli government,2793,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,Freedom Flotilla II,2784,Israel should lift the blockade of Gaza
This house believes that Israel should lift the blockade of Gaza,International aid to Palestinians,2821,Israel should lift the blockade of Gaza
This house believes that the Church of England should be separated from the British state,Separation of church and state,2948,the Church of England should be separated from the British state
This house believes that the Church of England should be separated from the British state,Secularism,2952,the Church of England should be separated from the British state
This house believes that the Church of England should be separated from the British state,Laïcité,2988,the Church of England should be separated from the British state
This house believes that the Church of England should be separated from the British state,Separation of church and state in the United States,2947,the Church of England should be separated from the British state
This house would encourage the creation of private universities in the UK,Private university,2966,UK encouraged the creation of private universities
This house would encourage the creation of private universities in the UK,Martin Jacomb,3001,UK encouraged the creation of private universities
This house would encourage the creation of private universities in the UK,Privatization,3002,UK encouraged the creation of private universities
This house would encourage the creation of private universities in the UK,Higher education in the United States,3022,UK encouraged the creation of private universities
This house would encourage the creation of private universities in the UK,New College of the Humanities,2965,UK encouraged the creation of private universities
This house would use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities,Internet censorship,3042,Support the use of foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities
This house would use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities,Censorship,3121,Support the use of foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities
