,Topic,Article,Claim
85,the one child policy of the republic of China ,One-child policy,"If, for any reason, the single child is unable to care for their older adult relatives, the oldest generations would face a lack of resources and necessities"
86,the one child policy of the republic of China ,One-child policy,Some parents may over-indulge their only child
87,the one child policy of the republic of China ,One-child policy,social problems and personality disorders in young people
88,the one child policy of the republic of China ,One-child policy,The one-child limit is too extreme. It violates nature’s law
89,the one child policy of the republic of China ,One-child policy,The social pressure exerted by the one-child policy has affected the rate at which parents abandon undesirable children
90,the one child policy of the republic of China ,One-child policy,China's family planning programs contribute to infanticide
91,the one child policy of the republic of China ,Demographics of China,"As a result of the policy, China successfully achieved its goal of a more stable and much-reduced fertility rate"
92,the one child policy of the republic of China ,Demographics of China,rapid population growth as an obstacle to development
93,the one child policy of the republic of China ,Demographics of China,population control was necessary for economic growth and improved living standards
94,the one child policy of the republic of China ,Demographics of China,coercive measures used to achieve the desired results of the one-child policy
95,the one child policy of the republic of China ,Demographics of China,Rapid fertility reduction associated with the one-child policy has potentially negative results
96,the one child policy of the republic of China ,Human population control,population control can involve measures that improve people's lives
97,the one child policy of the republic of China ,Human population control,"a large increase in population would bring, ""certain poverty on the citizenry"
98,the one child policy of the republic of China ,Human population control,excessive growth may reduce output per worker
99,the one child policy of the republic of China ,Human population control,a larger population would mean more production
100,the one child policy of the republic of China ,Human population control,"overpopulation has been blamed for a variety of issues, including increasing poverty"
101,the one child policy of the republic of China ,Human population control,reduction of the population is a key to economic growth
102,the one child policy of the republic of China ,Human population control,economists doubt that a correlation between population reduction and economic growth exists
103,the one child policy of the republic of China ,Human population control,"poverty and famine are caused by bad government and bad economic policies, not by overpopulation"
104,the one child policy of the republic of China ,Human population control,"higher population density leads to more specialization and technological innovation, which in turn leads to a higher standard of living"
105,the one child policy of the republic of China ,Human population control,human beings are the ultimate resource
106,the one child policy of the republic of China ,Human population control,there is no correlation between population density and poverty and starvation
107,the one child policy of the republic of China ,Human population control,number of problems associated with overpopulation
108,the one child policy of the republic of China ,Human population control,"The success of the policy has been questioned, and reduction in fertility has also been attributed to the modernization of China"
109,the one child policy of the republic of China ,Human population control,The policy is controversial both within and outside of China
110,the one child policy of the republic of China ,Only child,only children are spoiled
111,the one child policy of the republic of China ,Only child,only children have aversive social skills
112,the one child policy of the republic of China ,Only child,the lack of siblings has been blamed for a number of social ills
113,the one child policy of the republic of China ,Only child,The one child policy has also been speculated to be the underlying cause of forced abortions
114,the one child policy of the republic of China ,Only child,it is more difficult for only children to cooperate in a conventional family environment
115,the one child policy of the republic of China ,Only child,only children are higher in achievement motivation
116,the one child policy of the republic of China ,Only child,children with many siblings receive fewer resources
117,the one child policy of the republic of China ,Only child,Only children are also more likely to make outside friends
118,the one child policy of the republic of China ,Family planning,a continuation of the rapid population growth that had been occurring would hinder their development as a nation
119,the one child policy of the republic of China ,Family planning,the policy has created abuse for women in China
120,the one child policy of the republic of China ,Family planning,implementation of the policy has involved forced abortions and forced sterilization
121,the one child policy of the republic of China ,Voluntary Human Extinction Movement,a decrease in the human population would prevent a significant amount of man-made human suffering
122,the one child policy of the republic of China ,Two-child policy,a single child would be left with having to provide support for his or her two parents and four grandparents
123,the one child policy of the republic of China ,Little Emperor Syndrome,this four-two-one reconfiguration of the familial structure has distinct ramifications for Chinese society
124,the one child policy of the republic of China ,Human rights in the People's Republic of China,it contributes to forced abortions
125,the one child policy of the republic of China ,Human rights in the People's Republic of China,This is thought to have been a significant contribution to the gender imbalance in mainland China
126,the one child policy of the republic of China ,Human rights in the People's Republic of China,the one-child policy is not effective enough to justify its costs
127,the one child policy of the republic of China ,Human rights in the People's Republic of China,the dramatic decrease in Chinese fertility started before the program began in 1979 for unrelated factors
128,the one child policy of the republic of China ,Compulsory sterilization,Coercive sterilization to enforce the one child policy has occurred in China
129,the one child policy of the republic of China ,Reproductive rights,Parents have a basic human right to determine freely and responsibly the number and the spacing of their children
130,the one child policy of the republic of China ,Reproductive rights,Parents have a basic right to decide freely and responsibly on the number and spacing of their children
131,the one child policy of the republic of China ,Reproductive rights,Parents have the exclusive right to determine freely and responsibly the number and spacing of their children
132,the one child policy of the republic of China ,Reproductive rights,governments have a responsibility to meet individuals' reproductive needs
133,the one child policy of the republic of China ,Reproductive rights,The human rights of women include their right to have control over and decide freely and responsibly on matters related to their sexuality
134,the one child policy of the republic of China ,Reproductive rights,Control over reproduction is a basic need and a basic right for all women
135,the one child policy of the republic of China ,Reproductive rights,Programs that do not take the interests of women into account are unlikely to succeed
136,the one child policy of the republic of China ,Reproductive rights,the policies' narrow focus led to coercion and decreased quality of care
137,the one child policy of the republic of China ,Sex selection,China's gender imbalance is further increased by the One Child Policy
138,the one child policy of the republic of China ,Overpopulation,rapid population growth damages the Earth's resources and diminishes human well-being
139,the one child policy of the republic of China ,Overpopulation,overpopulation as a serious threat to the quality of human life
140,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,The use of drugs to enhance performance is considered unethical by most international sports organizations
141,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"it is little different from the use of new materials in the construction of suits and sporting equipment, which similarly aid performance and can give competitors an unfair advantage over others"
142,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,The use of anabolic steroids is now banned by all major sporting bodies
143,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"drug testing can be wildly inconsistent and, in some instances, has gone unenforced"
144,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"there is little danger from anabolica, as they call it, when the athletes are kept on strictly monitored programmes"
145,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,the extremely dangerous side-effects are admitted
146,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"Often, doping was carried out without the knowledge of the athletes, some of them as young as ten years of age"
147,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"around 10,000 former athletes bear the physical and mental scars of years of drug abuse"
148,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,the pursuit of doping athletes has turned into a modern day witch-hunt
149,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,Many sports organizations have banned the use of performance enhancing drugs and have very strict rules and consequences for people who are caught using them
150,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"as outright prevention of doping is an impossibility, all doping should be legalised"
151,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,harmful long-term effects of many doping agents
152,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"with no medical data to support these claimed health problems, it is, at best, questionable"
153,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"with doping legal, all competitive athletes would be compelled to use drugs, and the net effect would be a level playing field but with widespread health consequences"
154,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"doping could be legalized to some extent using a drug whitelist and medical counseling, such that medical safety is ensured, with all usage published"
155,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,"legalizing performance-enhancing substances, as well as genetic and cyborg enhancements once they became available, would satisfy society's need for bermenschen and reverse the decline in public interest in sports"
156,the use of performance enhancing drugs in professional sports ,Use of performance-enhancing drugs in sport,some athletes point to the already dangerous environment in sports like football and martial arts and wonder if there is a double standard where health concerns brought by the aggressive nature of these sports is viewed acceptable but not PEDs
157,the use of performance enhancing drugs in professional sports ,Mitchell Report,"The use of performance-enhancing substances by players is illegal and ethically ""wrong"
158,the use of performance enhancing drugs in professional sports ,Ergogenic use of anabolic steroids,There is a wide range of health concerns for users
159,the use of performance enhancing drugs in professional sports ,Anabolic steroid,Health risks can be produced by long-term use or excessive doses of anabolic steroids
160,the use of performance enhancing drugs in professional sports ,Doping in East Germany,Many former athletes suffer from health problems related to steroid consumption
161,the use of performance enhancing drugs in professional sports ,Doping in East Germany,the extremely dangerous side-effects are admitted
162,the use of performance enhancing drugs in professional sports ,Doping in East Germany,former athletes bear the physical and mental scars of years of drug abuse
163,the use of performance enhancing drugs in professional sports ,Drug Enforcement Administration,anybody should be free to put any substance they choose into their own bodies for any reason
164,the use of performance enhancing drugs in professional sports ,Substance abuse,Substance abuse can be harmful to your health and may even be deadly in certain scenarios
165,make physical education compulsory ,Physical education,"Introducing students to activities like bowling, walking/hiking, or Frisbee at an early age can help students develop good activity habits that will carry over into adulthood"
166,make physical education compulsory ,Physical education,"Teaching non-traditional sports to students may also provide the necessary motivation for students to increase their activity, and can help students learn about different cultures"
167,make physical education compulsory ,Physical exercise,Frequent and regular physical exercise boosts the immune system
168,make physical education compulsory ,Physical exercise,"helps prevent the ""diseases of affluence"
169,make physical education compulsory ,Physical exercise,It also improves mental health
170,make physical education compulsory ,Physical exercise,physical exercise may help decrease some of the effects of childhood and adult obesity
171,make physical education compulsory ,Physical exercise,Physical exercise is important for maintaining physical fitness
172,make physical education compulsory ,Physical exercise,can contribute positively to maintaining a healthy weight
173,make physical education compulsory ,Physical exercise,strengthening the immune system
174,make physical education compulsory ,Physical exercise,Frequent and regular aerobic exercise has been shown to help prevent or treat serious and life-threatening chronic conditions
175,make physical education compulsory ,Physical exercise,Not everyone benefits equally from exercise
176,make physical education compulsory ,Physical exercise,moderate exercise has a beneficial effect on the human immune system
177,make physical education compulsory ,Physical exercise,Exercise alone is a potential prevention method and/or treatment for mild forms of depression
178,make physical education compulsory ,Physical exercise,Too much exercise can be harmful
179,make physical education compulsory ,Physical exercise,Inappropriate exercise can do more harm than good
180,make physical education compulsory ,Childhood obesity,children who fail to engage in regular physical activity are at greater risk of obesity
181,make physical education compulsory ,Childhood obesity,Physical inactivity as a child could result in physical inactivity as an adult
182,make physical education compulsory ,Childhood obesity,Childhood inactivity is linked to obesity
183,make physical education compulsory ,Democratic education,the model of ideal education is that which occurs when people go on their own initiative to discover things
184,make physical education compulsory ,Exercise trends,Physical inactivity is increasing or high among many groups in the population
185,make physical education compulsory ,Exercise trends,people die as a result of physical inactivity
186,make physical education compulsory ,Exercise trends,inactivity one of the leading preventable causes of death worldwide
187,make physical education compulsory ,Health,people can improve their health via exercise
188,make physical education compulsory ,Obesity,a lack of physical activity is thought to explain most cases of obesity
189,make physical education compulsory ,Obesity,A sedentary lifestyle plays a significant role in obesity [REF
190,make physical education compulsory ,Overweight,Excess weight has reached epidemic proportions globally
191,make physical education compulsory ,Physical fitness,Physical fitness can also prevent or treat many chronic health conditions
192,make physical education compulsory ,Physical fitness,To stay healthy it is important to engage in physical activity
193,make physical education compulsory ,Recess (break),P.E. actually increase test scores
194,make physical education compulsory ,Recess (break),youth do not get the physical outlet needed not only for their cognitive development but for their physical health
195,make physical education compulsory ,Sedentary lifestyle,many children lead a relatively sedentary lifestyle
196,make physical education compulsory ,Summerhill School,"school should be made to fit the child, rather than the other way around"
197,make physical education compulsory ,Summerhill School,children learn best with freedom from coercion
198,make physical education compulsory ,Active Living,There are many health related benefits to being physically active
199,the use of affirmative action ,Affirmative action,countering the effects of a history of discrimination
200,the use of affirmative action ,Affirmative action,Affirmative action is intended to promote  equal opportunity
201,the use of affirmative action ,Affirmative action,to ensure that minority groups within a society are included in all programs
202,the use of affirmative action ,Affirmative action,"it helps to compensate for past discrimination, persecution or exploitation by the ruling class of a culture"
203,the use of affirmative action ,Affirmative action,the principle of equality sometimes requires States parties to take affirmative action in order to diminish or eliminate conditions which cause or help to perpetuate discrimination prohibited by the Covenant
204,the use of affirmative action ,Affirmative action,"In some countries which have laws on racial equality, affirmative action is rendered illegal because it does not treat all races equally"
205,the use of affirmative action ,Affirmative action,These laws cause disproportionally high costs for small companies and reduce economic growth and employment
206,the use of affirmative action ,Affirmative action,it is impossible to favor somebody without discriminating against others
207,the use of affirmative action ,Affirmative action,affirmative action devalues the accomplishments of people who are chosen based on the social group to which they belong rather than their qualifications
208,the use of affirmative action ,Affirmative action,"affirmative action devalues the accomplishments of all those who belong to groups it is intended to help, therefore making affirmative action counterproductive"
209,the use of affirmative action ,Affirmative action,"affirmative action is ""reverse discrimination"
210,the use of affirmative action ,Affirmative action,affirmative action has undesirable side-effects in addition to failing to achieve its goals
211,the use of affirmative action ,Affirmative action,It may increase racial tension and benefit the more privileged people within minority groups at the expense of the least fortunate within majority groups
212,the use of affirmative action ,Affirmative action,affirmative action policies encourage non-preferred groups to designate themselves as members of preferred groups
213,the use of affirmative action ,Affirmative action,they tend to benefit primarily the most fortunate among the preferred group
214,the use of affirmative action ,Affirmative action,they reduce the incentives of both the preferred and non-preferred to perform at their best
215,the use of affirmative action ,Affirmative action,they increase animosity toward preferred groups
216,the use of affirmative action ,Affirmative action,affirmative action hurts its intended beneficiaries
217,the use of affirmative action ,Meritocracy,"merit"" itself should be a primary consideration during evaluation"
218,the use of affirmative action ,Discrimination,attempts at antidiscrimination have been criticized as reverse discrimination
219,the use of affirmative action ,Discrimination,affirmative action) discriminate against members of a dominant or majority group
220,the use of affirmative action ,Discrimination,each individual's civil rights include the right to be free from government sponsored social discrimination
221,the use of affirmative action ,Equal opportunity,all people should be treated similarly
222,the use of affirmative action ,Equal opportunity,jobs should go to those “most qualified
223,the use of affirmative action ,Equal opportunity,The selection process should not be based on some arbitrary or irrelevant criterion
224,the use of affirmative action ,Equal opportunity,race and sex shouldn't matter when getting a job
225,the use of affirmative action ,Equal opportunity,final selection for posts must be made according to the principle the best person for the job
226,the use of affirmative action ,Equal opportunity,the overall idea is to give children from less fortunate backgrounds more of a chance
227,the use of affirmative action ,Equal opportunity,The idea is to help disadvantaged groups get back to a normal starting position after a long period of discrimination
228,the use of affirmative action ,Equal opportunity,any equalities achieved will entail future inequalities
229,the use of affirmative action ,Equal opportunity,it is an ideal that cannot and should not be realized through the actions of the government
230,the use of affirmative action ,Reverse discrimination,discrimination inherent in affirmative action programs
231,the use of affirmative action ,Reverse discrimination,identical treatment may sometimes act to preserve inequality rather than eliminate it
232,the use of affirmative action ,Affirmative action bake sale,"affirmative action is racial division, not racial reconciliation"
233,the use of affirmative action ,Convention on the Elimination of All Forms of Racial Discrimination,redress imbalances and promote equality
234,the use of affirmative action ,Convention on the Elimination of All Forms of Racial Discrimination,"affirmative action policies for specific racial groups to guarantee ""the full and equal enjoyment of human rights and fundamental freedoms"
235,the use of affirmative action ,Racism,is intended to ameliorate past discrimination
236,the use of affirmative action ,Civil Rights Act of 1964,You can't legislate morality
237,the use of affirmative action ,United Kingdom employment equality law,it violates the principle of equal treatment just as much as negative discrimination
238,the use of affirmative action ,Affirmative action in the United States,The impetus towards affirmative action is to redress the disadvantages[REF][REF][REF][REF][REF] associated with overt historical discrimination
239,the use of affirmative action ,Affirmative action in the United States,have been criticised as a form of reverse discrimination
240,the use of affirmative action ,Affirmative action in the United States,"aims ""to correct the effects of past and present discrimination"
241,the use of affirmative action ,Affirmative action in the United States,no one has a legal right to have any demographic characteristic they possess be considered a favorable point on their behalf
242,the use of affirmative action ,Affirmative action in the United States,Race-conscious affirmative action remains necessary to address race-based obstacles
243,the use of affirmative action ,Affirmative action in the United States,it is often contested on constitutional grounds
244,the use of affirmative action ,Affirmative action in the United States,affirmative action requires the very discrimination it is seeking to eliminate
245,the use of affirmative action ,Affirmative action in the United States,affirmative action counter-productive
246,the use of affirmative action ,Affirmative action in the United States,affirmative action lowers the bar
247,the use of affirmative action ,Affirmative action in the United States,affirmative action has undesirable side-effects
248,the use of affirmative action ,Affirmative action in the United States,it fails to achieve its goals
249,the use of affirmative action ,Affirmative action in the United States,it hinders reconciliation
250,the use of affirmative action ,Affirmative action in the United States,replaces old wrongs with new wrongs
251,the use of affirmative action ,Affirmative action in the United States,undermines the achievements of minorities
252,the use of affirmative action ,Affirmative action in the United States,"encourages groups to identify themselves as disadvantaged, even if they are not"
253,the use of affirmative action ,Affirmative action in the United States,It may increase racial tension
254,the use of affirmative action ,Affirmative action in the United States,affirmative action devalues the accomplishments of people who belong to a group it's supposed to help
255,the use of affirmative action ,Affirmative action in the United States,affirmative action counter-productive
256,the use of affirmative action ,Affirmative action in the United States,"it creates ""a cult of victimization"
257,the use of affirmative action ,Affirmative action in the United States,reduce the incentives of both the preferred and non-preferred to perform at their best
258,the use of affirmative action ,Affirmative action in the United States,they engender animosity toward preferred groups
259,the use of affirmative action ,Minority group,recognition and rights accorded to specific groups may interfere with the state's need to establish a cohesive identity
260,the use of affirmative action ,Minority group,members of minorities require specific provisions and rights to ensure that they are not marginalised within society
261,the use of affirmative action ,Minority group,These may be considered necessary because the minority group in question is socially disadvantaged
262,the use of affirmative action ,Affirmative Action Around the World,programs have at best a negligible impact on the groups they are intended to assist
263,the use of affirmative action ,Affirmative Action Around the World,They reduce the incentives of both the preferred and non-preferred to perform at their best
264,the use of affirmative action ,Black Economic Empowerment,direct intervention in the distribution of assets and opportunities was needed to resolve the economic disparities
265,the use of affirmative action ,Racial quota,one group is favored at the expense of another whenever a quota is invoked
266,the use of affirmative action ,Racial quota,using quotas displaces individuals that would normally be favored based on their individual achievements
267,the use of affirmative action ,Racial quota,qualifications should be the only determining factor
268,the use of affirmative action ,Reservation in India,affirmative action designed to improve the well being of perceived backward and under represented communities
269,the use of affirmative action ,Reservation in India,the identification of oppressed classes was difficult to carry out
270,the use of affirmative action ,Symbolic racism,Racial prejudice and discrimination no longer exists
271,the use of affirmative action ,Color blindness (race),those that give preference to individuals solely based on their race or gender should not be permitted
272,the use of affirmative action ,Color blindness (race),"social inequality today is due to ""cultural deficits"" of individual people or racial or ethnic groups"
273,the use of affirmative action ,Color blindness (race),"there is no need to pay ""systematic attention"" to any current inequities"
274,the use of affirmative action ,Convention on the Elimination of All Forms of Discrimination Against Women,States must take measures to seek to eliminate prejudices
275,the use of affirmative action ,Racism in the United States,Historical racism continues to be reflected in socio-economic inequality
276,the use of affirmative action ,Racism in the United States,Racial stratification continues to occur
277,the use of affirmative action ,Racism in the United States,"have been criticized as a form of ""reverse discrimination"
278,the use of affirmative action ,Racism in the United States,Motivation for affirmative action policies is to redress the effects of past discrimination
279,the use of affirmative action ,Racism in the United States,these policies demonstrate an overt preference for applicants from particular backgrounds over better-qualified (or equally-qualified) candidates from other backgrounds
280,the use of affirmative action ,Racism in the United States,the only consideration in choosing between applicants should be merit
281,the use of affirmative action ,Racism in the United States,it perpetuates racial division
282,boxing ,The distance (boxing),fatalities are rare in heavyweight matches
283,boxing ,The distance (boxing),rule changes have made certain kinds of boxing deaths far rarer
284,boxing ,The distance (boxing),boxing remains the 8th most deadly sport
285,boxing ,Knockout,The referee intervenes to avoid unnecessary damage or potential injury
286,boxing ,Knockout,the typical knock out which results in a sustained loss of consciousness
287,boxing ,Knockout,Repeated blows to the head are known to gradually cause permanent brain damage
288,boxing ,Knockout,In severe cases may cause strokes or paralysis
289,boxing ,Knockout,many physicians advise against sports involving knockouts
290,boxing ,Amateur boxing,A referee monitors the fight to ensure that competitors use only legal blows
291,boxing ,Amateur boxing,Referees will stop the bout if a boxer is seriously injured
292,boxing ,Boxing,boxing commissions and other sanctioning bodies were established to regulate the sport
293,boxing ,Boxing,"fighters wear protective headgear, reducing the number of injuries, knockdowns, and knockouts"
294,boxing ,Boxing,A referee monitors the fight to ensure that competitors use only legal blows
295,boxing ,Boxing,"Headgear is not permitted in professional bouts, and boxers are generally allowed to take much more damage before a fight is halted"
296,boxing ,Boxing,the referee may stop the contest if he believes that one participant cannot defend himself due to injury
297,boxing ,Boxing,Knocking a person unconscious or even causing concussion may cause permanent brain damage
298,boxing ,Boxing,There is no clear division between the force required to knock a person out and the force likely to kill a person
299,boxing ,Boxing,"amateur boxers, professional boxers and Toughman fighters have died as the result of ring or training injuries"
